ASXCode,CompanyName,ListingDate,GICsIndustryGroup
OCL,Objective Corporation Limited,17/08/2000,Software & Services
OCN,Oceana Lithium Limited,1/07/2022,Materials
OCT,Octava Minerals Limited,16/09/2022,Materials
OD6,Od6 Metals Limited,22/06/2022,Materials
ODA,Orcoda Limited,15/09/1986,Software & Services
ODE,Odessa Minerals Limited,3/07/1986,Materials
ODM,Odin Metals Limited,5/08/2010,Materials
ODY,Odyssey Gold Ltd,30/11/2005,Materials
OEC,Orbital Corporation Limited,24/01/1989,Capital Goods
OEL,Otto Energy Limited,22/12/2004,Energy
OEQ,Orion Equities Limited,19/11/1970,Diversified Financials
OFX,Ofx Group Limited,11/10/2013,Diversified Financials
OIL,Optiscan Imaging Limited,8/08/1997,Health Care Equipment & Services
OKJ,Oakajee Corporation Limited,11/06/2008,Materials
OKR,Okapi Resources Limited,28/09/2017,Materials
OLH,Oldfields Holdings Limited,15/06/1960,Capital Goods
OLI,Oliver'S Real Food Limited,21/06/2017,Consumer Services
OLL,Openlearning Limited,12/12/2019,Software & Services
OLLNB,Openlearning Limited,12/12/2019,Software & Services
OLY,Olympio Metals Limited,12/09/2017,Commercial & Professional Services
OM1,Omnia Metals Group Ltd,2/03/2022,Materials
OMA,Omega Oil & Gas Limited,25/10/2022,Energy
OMH,Om Holdings Limited,12/03/1998,Materials
OML,Ooh!Media Limited,17/12/2014,Media & Entertainment
OMX,Orange Minerals Nl,8/12/2021,Materials
ONE,Oneview Healthcare Plc,17/03/2016,Health Care Equipment & Services
OOK,Ookami Limited,21/02/2000,Materials
OPH,Ophir High Conviction Fund,19/12/2018,Not Applic
OPL,Opyl Limited,7/03/1996,Software & Services
OPN,Openn Negotiation Limited,21/07/2021,Commercial & Professional Services
OPT,Opthea Limited,18/04/1991,"Pharmaceuticals, Biotechnology & Life Sciences"
OPY,Openpay Group Ltd,16/12/2019,Diversified Financials
ORA,Orora Limited,18/12/2013,Materials
ORG,Origin Energy Limited,13/07/1961,Energy
ORI,Orica Limited,28/11/1961,Materials
ORM,Orion Metals Limited,3/01/2007,Materials
ORN,Orion Minerals Ltd,31/10/2003,Materials
ORP,Orpheus Minerals Ltd,,Energy
ORR,Orecorp Limited,4/08/2011,Materials
OSL,Oncosil Medical Ltd,15/08/2005,"Pharmaceuticals, Biotechnology & Life Sciences"
OSM,Osmond Resources Limited,22/04/2022,Materials
OSX,Osteopore Limited,23/09/2019,Health Care Equipment & Services
OVN,Oventus Medical Limited,19/07/2016,Health Care Equipment & Services
OXT,Orexplore Technologies Limited,21/01/2022,Class Pend
OXX,Octanex Limited,6/11/2009,Energy
OZL,Oz Minerals Limited,1/01/1970,Materials
OZM,Ozaurum Resources Limited,8/02/2021,Materials
OZZ,Ozz Resources Limited,5/07/2021,Materials
PAA,Pharmaust Limited,5/10/2001,"Pharmaceuticals, Biotechnology & Life Sciences"
PAB,Patrys Limited,13/07/2007,"Pharmaceuticals, Biotechnology & Life Sciences"
PAC,Pacific Current Group Limited,25/09/1987,Diversified Financials
PAI,Platinum Asia Investments Limited,21/09/2015,Not Applic
PAM,Pan Asia Metals Limited,8/10/2020,Materials
PAN,Panoramic Resources Limited,14/09/2001,Materials
PAR,Paradigm Biopharmaceuticals Limited..,19/08/2015,"Pharmaceuticals, Biotechnology & Life Sciences"
PAT,Patriot Lithium Limited,,Materials
PBH,Pointsbet Holdings Limited,12/06/2019,Consumer Services
PBL,Parabellum Resources Limited,29/11/2021,Materials
PBP,Probiotec Limited,14/11/2006,"Pharmaceuticals, Biotechnology & Life Sciences"
PCG,Pengana Capital Group Limited,28/02/2001,Diversified Financials
PCI,Perpetual Credit Income Trust,14/05/2019,Not Applic
PCK,Painchek Ltd,1/05/2012,Health Care Equipment & Services
PCL,Pancontinental Energy Nl,11/09/1986,Energy
PDI,Predictive Discovery Limited,1/12/2010,Materials
PDL,Pendal Group Limited,10/12/2007,Diversified Financials
PDN,Paladin Energy Ltd,29/03/1994,Energy
PE1,Pengana Private Equity Trust,30/04/2019,Not Applic
PEB,Pacific Edge Limited,27/09/2021,"Pharmaceuticals, Biotechnology & Life Sciences"
PEC,Perpetual Resources Limited,28/02/2013,Materials
PEK,Peak Rare Earths Limited,29/11/2006,Materials
PEN,Peninsula Energy Limited,26/05/1994,Energy
PET,Phoslock Environmental Technologies Limited,16/08/2002,Commercial & Professional Services
PEX,Peel Mining Limited,17/05/2007,Materials
PF1,Pathfinder Resources Ltd,4/11/2020,Materials
PFE,Pantera Minerals Limited,5/08/2021,Materials
PFG,Prime Financial Group Limited,7/12/2004,Diversified Financials
PFP,Propel Funeral Partners Limited,23/11/2017,Consumer Services
PFT,Pure Foods Tasmania Limited,19/12/2005,"Food, Beverage & Tobacco"
PG1,Pearl Global Limited,2/11/2006,Commercial & Professional Services
PGC,Paragon Care Limited,15/10/1999,Health Care Equipment & Services
PGD,Peregrine Gold Ltd,31/03/2021,Materials
PGF,Pm Capital Global Opportunities Fund Limited,12/12/2013,Not Applic
PGG,Partners Group Global Income Fund,26/09/2019,Not Applic
PGH,Pact Group Holdings Ltd,17/12/2013,Materials
PGL,Prospa Group Limited.,11/06/2019,Diversified Financials
PGM,Platina Resources Limited,29/05/2006,Materials
PGO,Pacgold Limited,8/07/2021,Materials
PGY,Pilot Energy Limited,20/04/2006,Energy
PH2,Pure Hydrogen Corporation Limited,12/03/2013,Energy
PHL,Propell Holdings Limited,14/04/2021,Diversified Financials
PHO,Phosco Ltd,17/12/2009,Materials
PIA,Pengana International Equities Limited,19/03/2004,Not Applic
PIC,Perpetual Equity Investment Company Limited,18/12/2014,Not Applic
PIL,Peppermint Innovation Limited,29/05/2008,Software & Services
PIM,Pinnacle Minerals Limited,23/03/2022,Materials
PIQ,Proteomics International Laboratories Ltd,16/04/2015,"Pharmaceuticals, Biotechnology & Life Sciences"
PKD,Parkd Ltd,6/12/2017,Commercial & Professional Services
PKO,Peako Limited,2/12/2009,Materials
PL8,Plato Income Maximiser Limited.,5/05/2017,Not Applic
PLG,Pearl Gull Iron Limited,20/09/2021,Materials
PLL,Piedmont Lithium Inc.,28/03/1983,Materials
PLS,Pilbara Minerals Limited,19/09/2007,Materials
PLT,Plenti Group Limited,23/09/2020,Diversified Financials
PLY,Playside Studios Limited,17/12/2020,Media & Entertainment
PMC,Platinum Capital Limited,29/06/1994,Not Applic
PME,Pro Medicus Limited,10/10/2000,Health Care Equipment & Services
PMT,Patriot Battery Metals Inc.,,Class Pend
PMV,Premier Investments Limited,15/12/1987,Retailing
PNC,Pioneer Credit Limited,1/05/2014,Diversified Financials
PNI,Pinnacle Investment Management Group Limited,19/06/2007,Diversified Financials
PNM,Pacific Nickel Mines Limited,26/11/2002,Materials
PNN,Power Minerals Limited,15/04/2005,Materials
PNR,Pantoro Limited,21/05/1987,Materials
PNT,Panther Metals Ltd,10/12/2021,Materials
PNV,Polynovo Limited,26/11/1998,Health Care Equipment & Services
PNX,Pnx Metals Limited,12/02/2008,Materials
PO3,Purifloh Limited,30/12/2010,Utilities
POD,Podium Minerals Limited,28/02/2018,Materials
POL,Polymetals Resources Ltd,29/06/2021,Materials
POS,Poseidon Nickel Limited,29/11/1993,Materials
POW,Protean Energy Limited,21/12/2006,Capital Goods
PPC,Peet Limited,5/08/2004,Real Estate
PPE,Peoplein Limited,22/11/2017,Commercial & Professional Services
PPG,Pro-Pac Packaging Limited,27/04/2005,Materials
PPH,Pushpay Holdings Limited,12/10/2016,Software & Services
PPK,Ppk Group Limited,21/12/1994,Capital Goods
PPL,Pureprofile Ltd,29/07/2015,Media & Entertainment
PPM,Pepper Money Limited,25/05/2021,Banks
PPS,Praemium Limited,11/05/2006,Software & Services
PPT,Perpetual Limited,24/06/1964,Diversified Financials
PPY,Papyrus Australia Limited,15/04/2005,Materials
PR1,Pure Resources Limited,21/04/2022,Materials
PRL,Province Resources Ltd,9/02/1994,Materials
PRM,Prominence Energy Limited,23/01/1992,Energy
PRN,Perenti Limited,6/01/1994,Materials
PRO,Prophecy International Holdings Limited,22/04/1998,Software & Services
PRS,Prospech Limited.,4/12/2020,Materials
PRT,Prt Company Limited,30/08/1984,Media & Entertainment
PRU,Perseus Mining Limited,22/09/2004,Materials
PRX,Prodigy Gold Nl,21/08/1986,Materials
PSC,Prospect Resources Limited,4/12/2009,Materials
PSI,Psc Insurance Group Limited,15/12/2015,Insurance
PSL,Paterson Resources Ltd,18/10/2006,Materials
PSQ,Pacific Smiles Group Limited,21/11/2014,Health Care Equipment & Services
PTB,Ptb Group Limited,18/12/2006,Capital Goods
PTG,Proptech Group Limited,10/12/2015,Software & Services
PTL,Pental Limited,29/08/2000,Household & Personal Products
PTM,Platinum Asset Management Limited,23/05/2007,Diversified Financials
PTR,Petratherm Ltd,27/07/2004,Materials
PTX,Prescient Therapeutics Limited,19/12/1986,"Pharmaceuticals, Biotechnology & Life Sciences"
PUA,Peak Minerals Limited,17/07/2003,Materials
PUR,Pursuit Minerals Ltd,10/09/2008,Materials
PV1,Provaris Energy Ltd,21/03/2005,Energy
PVE,Po Valley Energy Limited,14/12/2004,Energy
PVL,Powerhouse Ventures Limited,12/10/2016,Diversified Financials
PVS,Pivotal Systems Corporation,2/07/2018,Semiconductors & Semiconductor Equipment
PVW,Pvw Resources Limited,12/11/2009,Materials
PWH,Pwr Holdings Limited,18/11/2015,Automobiles & Components
PWN,Parkway Corporate Limited,13/05/2011,Materials
PWR,Peter Warren Automotive Holdings Limited,27/04/2021,Retailing
PXA,Pexa Group Limited,1/07/2021,Real Estate
PXS,Pharmaxis Ltd,10/11/2003,"Pharmaceuticals, Biotechnology & Life Sciences"
PXX,Polarx Limited,21/12/2012,Materials
PXXN,Polarx Limited,21/12/2012,Materials
PYC,Pyc Therapeutics Limited,30/03/2005,"Pharmaceuticals, Biotechnology & Life Sciences"
PYG,Paygroup Limited,29/05/2018,Software & Services
PYR,Payright Limited,23/12/2020,Diversified Financials
QAL,Qualitas Limited,16/12/2021,Diversified Financials
QAN,Qantas Airways Limited,31/07/1995,Transportation
QBE,Qbe Insurance Group Limited,28/06/1973,Insurance
QEM,Qem Limited,19/10/2018,Materials
QFE,Quickfee Limited,11/07/2019,Diversified Financials
QGL,Quantum Graphite Limited,6/01/2014,Materials
QHL,Quickstep Holdings Limited,17/10/2005,Capital Goods
QIP,Qantm Intellectual Property Limited,31/08/2016,Commercial & Professional Services
QML,Qmines Limited,6/05/2021,Materials
QPM,Queensland Pacific Metals Limited,14/03/2008,Materials
QRI,Qualitas Real Estate Income Fund,27/11/2018,Not Applic
QUB,Qube Holdings Limited,4/01/2007,Transportation
QUE,Queste Communications Limited,11/11/1998,Diversified Financials
QVE,Qv Equities Limited,22/08/2014,Not Applic
QXR,Qx Resources Limited,17/02/2011,Materials
R3D,R3D Resources Limited,17/12/2004,Media & Entertainment
R8R,Regener8 Resources Nl,8/07/2022,Materials
RAC,Race Oncology Ltd,13/07/2016,"Pharmaceuticals, Biotechnology & Life Sciences"
RAD,Radiopharm Theranostics Limited,25/11/2021,"Pharmaceuticals, Biotechnology & Life Sciences"
RAG,Ragnar Metals Limited,31/03/2005,Materials
RAN,Range International Limited,22/07/2016,Materials
RAS,Ragusa Minerals Ltd,13/07/2010,Diversified Financials
RB6,Rubix Resources Limited,23/12/2021,Materials
RBD,Restaurant Brands New Zealand Limited,28/09/2017,Consumer Services
RBL,Redbubble Limited,16/05/2016,Retailing
RBR,Rbr Group Limited,2/02/2007,Materials
RBX,Resource Base Limited.,12/07/2021,Materials
RC1,Redcastle Resources Limited,21/03/2003,Materials
RCE,Recce Pharmaceuticals Ltd,15/01/2016,"Pharmaceuticals, Biotechnology & Life Sciences"
RCL,Readcloud Limited,7/02/2018,Software & Services
RCR,Rincon Resources Limited,21/12/2020,Materials
RCT,Reef Casino Trust,11/02/1994,Consumer Services
RCW,Rightcrowd Limited,18/09/2017,Software & Services
RDG,Resource Development Group Limited,19/05/2011,Capital Goods
RDM,Red Metal Limited,27/10/2003,Materials
RDN,Raiden Resources Limited,12/03/1987,Materials
RDS,Redstone Resources Limited,3/08/2006,Materials
RDT,Red Dirt Metals Limited,3/11/2017,Materials
RDY,Readytech Holdings Limited,17/04/2019,Software & Services
REA,Rea Group Ltd,1/12/1999,Media & Entertainment
REC,Recharge Metals Limited,11/10/2021,Materials
RED,Red 5 Limited,16/10/1996,Materials
REE,Rarex Limited,11/07/2007,Materials
REG,Regis Healthcare Limited,7/10/2014,Health Care Equipment & Services
REH,Reece Limited,1/01/1974,Capital Goods
REM,Remsense Technologies Limited,2/11/2021,Capital Goods
REP,Ram Essential Services Property Fund,20/10/2021,Real Estate
REX,Regional Express Holdings Limited,9/11/2005,Transportation
REY,Rey Resources Limited,5/06/2006,Energy
REZ,Resources & Energy Group Limited,11/03/2005,Materials
RF1,Regal Investment Fund,17/06/2019,Not Applic
RFA,Rare Foods Australia Limited,14/11/2017,"Food, Beverage & Tobacco"
RFF,Rural Funds Group,14/02/2014,Real Estate
RFG,Retail Food Group Limited,22/06/2006,Consumer Services
RFR,Rafaella Resources Ltd.,26/07/2018,Materials
RFT,Rectifier Technologies Ltd,22/09/1994,Capital Goods
RFX,Redflow Limited,14/12/2010,Capital Goods
RGI,Roto-Gro International Limited,10/02/2017,Capital Goods
RGL,Riversgold Limited,10/10/2017,Materials
RGS,Regeneus Ltd,19/09/2013,"Pharmaceuticals, Biotechnology & Life Sciences"
RHC,Ramsay Health Care Limited,24/09/1997,Health Care Equipment & Services
RHI,Red Hill Iron Limited,14/02/2006,Materials
RHT,Resonance Health Limited,23/10/1987,Health Care Equipment & Services
RHY,Rhythm Biosciences Limited,7/12/2017,Health Care Equipment & Services
RIC,Ridley Corporation Limited,13/08/1987,"Food, Beverage & Tobacco"
RIE,Riedel Resources Limited,31/01/2011,Materials
RIM,Rimfire Pacific Mining Limited,4/03/1997,Materials
RIO,Rio Tinto Limited,19/09/1962,Materials
RKN,Reckon Limited,19/07/1999,Software & Services
RLC,Reedy Lagoon Corporation Limited,22/06/2007,Materials
RLF,Rlf Agtech Ltd,21/04/2022,Materials
RLG,Roolife Group Ltd,16/11/2016,Media & Entertainment
RLT,Renergen Limited,6/06/2019,Energy
RMC,Resimac Group Ltd,19/03/2001,Banks
RMD,Resmed Inc,25/11/1999,Health Care Equipment & Services
RMI,Resource Mining Corporation Limited,14/02/1985,Materials
RML,Resolution Minerals Ltd,22/09/2017,Materials
RMS,Ramelius Resources Limited,31/03/2003,Materials
RMX,Red Mountain Mining Limited,1/09/2011,Materials
RMY,Rma Global Limited,5/07/2018,Media & Entertainment
RND,Rand Mining Limited,15/08/1985,Materials
RNE,Renu Energy Limited,12/09/2002,Utilities
RNO,Rhinomed Limited,21/09/2007,"Pharmaceuticals, Biotechnology & Life Sciences"
RNT,Rent.Com.Au Limited,26/05/1994,Media & Entertainment
RNU,Renascor Resources Limited,15/12/2010,Energy
RNX,Renegade Exploration Limited,14/11/2006,Materials
ROC,Rocketboots Limited,7/12/2021,Software & Services
ROG,Red Sky Energy Limited.,23/05/2007,Energy
RON,Ronin Resources Ltd,16/12/2021,Materials
ROO,Roots Sustainable Agricultural Technologies Ltd,7/12/2017,Capital Goods
RPG,Raptis Group Limited,17/07/1986,Real Estate
RPL,Regal Partners Limited,21/06/2019,Diversified Financials
RPM,Rpm Automotive Group Limited,10/11/1983,Automobiles & Components
RR1,Reach Resources Limited,6/11/2002,Materials
RRL,Regis Resources Limited,19/02/1987,Materials
RRR,Revolver Resources Holdings Ltd,23/09/2021,Materials
RSG,Resolute Mining Limited,11/01/1979,Materials
RSH,Respiri Limited,14/07/2000,Health Care Equipment & Services
RTE,Retech Technology Co. Limited,22/06/2017,Consumer Services
RTG,Rtg Mining Inc.,5/06/2014,Materials
RTH,Ras Technology Holdings Limited,23/11/2021,Commercial & Professional Services
RTR,Rumble Resources Limited,1/07/2011,Materials
RUL,Rpmglobal Holdings Limited,27/05/2008,Software & Services
RVR,Red River Resources Limited,15/07/2005,Materials
RVS,Revasum Inc.,4/12/2018,Semiconductors & Semiconductor Equipment
RVT,Richmond Vanadium Technology Limited,,Class Pend
RWC,Reliance Worldwide Corporation Limited,29/04/2016,Capital Goods
RWD,Reward Minerals Ltd,12/12/1991,Materials
RWL,Rubicon Water Limited,2/09/2021,Technology Hardware & Equipment
RXH,Rewardle Holdings Limited,7/10/2014,Media & Entertainment
RXL,Rox Resources Limited,27/04/2004,Materials
RXM,Rex Minerals Limited,20/09/2007,Materials
RYD,Ryder Capital Limited,28/09/2015,Not Applic
RZI,Raiz Invest Limited,21/06/2018,Diversified Financials
S2R,S2 Resources Ltd,19/10/2015,Materials
S32,South32 Limited,18/05/2015,Materials
S3N,Sensore Ltd.,11/02/2022,Class Pend
S66,Star Combo Pharma Limited,16/05/2018,Household & Personal Products
SAN,Sagalio Energy Limited,15/12/2011,Energy
SAU,Southern Gold Limited,21/04/2005,Materials
SB2,Salter Brothers Emerging Companies Limited,16/06/2021,Not Applic
SBM,St Barbara Limited,15/05/1969,Materials
SBR,Sabre Resources Limited,17/12/1987,Materials
SBW,Shekel Brainweigh Ltd,20/11/2018,Software & Services
SC1,Source Certain International Limited,,Commercial & Professional Services
SCG,Scentre Group,25/06/2014,Real Estate
SCL,Schrole Group Ltd,11/11/2013,Software & Services
SCN,Scorpion Minerals Limited,7/03/2007,Materials
SCP,Shopping Centres Australasia Property Group,26/11/2012,Real Estate
SCT,Scout Security Limited,25/08/2017,Consumer Services
SCU,Stemcell United Limited,13/06/2000,"Pharmaceuticals, Biotechnology & Life Sciences"
SCUN,Stemcell United Limited,13/06/2000,"Pharmaceuticals, Biotechnology & Life Sciences"
SDF,Steadfast Group Limited,2/08/2013,Insurance
SDG,Sunland Group Limited,28/02/1995,Real Estate
SDI,Sdi Limited,7/11/1985,Health Care Equipment & Services
SDR,Siteminder Limited,8/11/2021,Consumer Services
SDV,Scidev Ltd,2/05/2002,Materials
SE1,Sensera Limited,23/12/2016,Semiconductors & Semiconductor Equipment
SEC,Spheria Emerging Companies Limited,5/12/2017,Not Applic
SEG,Sports Entertainment Group Limited,28/11/2000,Media & Entertainment
SEK,Seek Limited,19/04/2005,Media & Entertainment
SEN,Senetas Corporation Limited,21/06/1984,Technology Hardware & Equipment
SEQ,Sequoia Financial Group Ltd,19/09/2000,Diversified Financials
SER,Strategic Energy Resources Limited,15/08/1991,Materials
SES,Secos Group Ltd,21/11/1996,Materials
SFC,Schaffer Corporation Limited,1/01/1974,Automobiles & Components
SFG,Seafarms Group Limited,14/06/1990,"Food, Beverage & Tobacco"
SFM,Santa Fe Minerals Ltd,7/10/2011,Materials
SFR,Sandfire Resources Limited,4/03/2004,Materials
SFX,Sheffield Resources Limited,15/12/2010,Materials
SGA,Sarytogan Graphite Limited,18/07/2022,Materials
SGC,Sacgasco Limited,11/10/2005,Energy
SGF,Sg Fleet Group Limited,4/03/2014,Commercial & Professional Services
SGH,Slater & Gordon Limited,21/05/2007,Consumer Services
SGI,Stealth Global Holdings Ltd,2/10/2018,Capital Goods
SGLLV,Ricegrowers Limited,8/04/2019,"Food, Beverage & Tobacco"
SGM,Sims Limited,21/10/2005,Materials
SGP,Stockland,19/02/1987,Real Estate
SGQ,St George Mining Limited,16/11/2010,Materials
SGR,The Star Entertainment Group Limited,6/06/2011,Consumer Services
SHA,Shape Australia Corporation Limited,17/12/2021,Capital Goods
SHE,Stonehorse Energy Limited,24/07/2000,Energy
SHG,Singular Health Group Ltd,12/02/2021,Health Care Equipment & Services
SHH,Shree Minerals Limited,18/02/2010,Materials
SHJ,Shine Justice Ltd,15/05/2013,Consumer Services
SHL,Sonic Healthcare Limited,30/04/1987,Health Care Equipment & Services
SHM,Shriro Holdings Limited,23/06/2015,Consumer Durables & Apparel
SHN,Sunshine Gold Limited,25/01/2002,Materials
SHO,Sportshero Limited,12/06/2008,Media & Entertainment
SHP,South Harz Potash Ltd,20/01/2017,Materials
SHV,Select Harvests Limited,15/06/1978,"Food, Beverage & Tobacco"
SI6,Si6 Metals Limited,18/01/2008,Materials
SIG,Sigma Healthcare Limited,30/10/2002,Health Care Equipment & Services
SIH,Sihayo Gold Limited,31/03/1988,Materials
SIO,Simonds Group Limited,17/11/2014,Consumer Durables & Apparel
SIQ,Smartgroup Corporation Ltd,2/07/2014,Commercial & Professional Services
SIS,Simble Solutions Limited,22/02/2018,Software & Services
SIT,Site Group International Limited,21/08/1987,Consumer Services
SIV,Siv Capital Limited,31/05/2005,Capital Goods
SIX,Sprintex Limited,29/05/2008,Automobiles & Components
SKC,Skycity Entertainment Group Limited,29/03/1999,Consumer Services
SKF,Skyfii Ltd,17/12/1999,Software & Services
SKN,Skin Elements Limited,6/01/2017,Household & Personal Products
SKO,Serko Limited,25/06/2018,Software & Services
SKS,Sks Technologies Group Limited,1/01/1974,Capital Goods
SKT,Sky Network Television Limited.,4/07/2005,Media & Entertainment
SKY,Sky Metals Limited,11/03/2004,Materials
SLA,Silk Laser Australia Limited,15/12/2020,Health Care Equipment & Services
SLB,Stelar Metals Limited,18/03/2022,Class Pend
SLC,Superloop Limited,4/06/2015,Telecommunication Services
SLH,Silk Logistics Holdings Limited,9/07/2021,Transportation
SLM,Solis Minerals Ltd.,24/12/2021,Materials
SLR,Silver Lake Resources Limited,14/11/2007,Materials
SLS,Solstice Minerals Limited,2/05/2022,Materials
SLX,Silex Systems Limited,7/05/1998,Semiconductors & Semiconductor Equipment
SLZ,Sultan Resources Ltd,16/08/2018,Materials
SM1,Synlait Milk Limited,25/11/2016,"Food, Beverage & Tobacco"
SMI,Santana Minerals Limited,31/05/2013,Materials
SMN,Structural Monitoring Systems Plc,16/08/2004,Technology Hardware & Equipment
SMP,Smartpay Holdings Limited,4/09/2013,Software & Services
SMR,Stanmore Resources Limited,9/12/2009,Energy
SMS,Star Minerals Limited,27/10/2021,Materials
SMX,Security Matters Limited,15/10/2018,Software & Services
SNC,Sandon Capital Investments Limited,23/12/2013,Not Applic
SND,Saunders International Limited,5/12/2007,Capital Goods
SNG,Siren Gold Limited,7/10/2020,Materials
SNL,Supply Network Limited,10/09/1987,Retailing
SNS,Sensen Networks Limited,31/05/2007,Software & Services
SNX,Sierra Nevada Gold Inc.,3/05/2022,Materials
SNZ,Summerset Group Holdings Limited,18/07/2013,Health Care Equipment & Services
SO4,Salt Lake Potash Limited,3/11/2006,Materials
SOL,Washington H Soul Pattinson & Company Limited,21/01/1903,Energy
SOM,Somnomed Limited,27/08/2004,Health Care Equipment & Services
SOP,Synertec Corporation Limited,28/05/2013,Commercial & Professional Services
SOR,Strategic Elements Limited,11/08/2011,Diversified Financials
SOV,Sovereign Cloud Holdings Limited,14/12/2020,Software & Services
SP3,Spectur Limited,1/08/2017,Technology Hardware & Equipment
SPA,Spacetalk Ltd,17/07/2001,Software & Services
SPD,Southern Palladium Limited,8/06/2022,Materials
SPK,Spark New Zealand Limited,22/08/1991,Telecommunication Services
SPL,Starpharma Holdings Limited,28/09/2000,"Pharmaceuticals, Biotechnology & Life Sciences"
SPN,Sparc Technologies Limited,3/07/1986,Materials
SPQ,Superior Resources Limited,12/11/2007,Materials
SPT,Splitit Payments Ltd,29/01/2019,Software & Services
SPX,Spenda Limited,29/05/2002,Software & Services
SPZ,Smart Parking Limited,9/01/2007,Technology Hardware & Equipment
SQ2,Block Inc.,20/01/2022,Software & Services
SRG,Srg Global Limited,17/08/2007,Capital Goods
SRH,Saferoads Holdings Limited,15/12/2005,Transportation
SRI,Sipa Resources Limited,23/08/1990,Materials
SRJ,Srj Technologies Group Plc,18/09/2020,Energy
SRK,Strike Resources Limited,7/03/2000,Materials
SRL,Sunrise Energy Metals Limited,9/11/2007,Materials
SRN,Surefire Resources Nl,11/06/1999,Materials
SRR,Sarama Resources Ltd,2/05/2022,Materials
SRV,Servcorp Limited,6/12/1999,Real Estate
SRX,Sierra Rutile Holdings Limited,27/07/2022,Materials
SRY,Story-I Limited,20/01/2015,Retailing
SRZ,Stellar Resources Limited,28/04/2005,Materials
SSG,Shaver Shop Group Limited,1/07/2016,Retailing
SSH,Ssh Group Ltd,17/09/2021,Energy
SSL,Sietel Limited,1/01/1974,Real Estate
SSM,Service Stream Limited,9/12/2004,Capital Goods
SSR,Ssr Mining Inc.,17/09/2020,Materials
SST,Steamships Trading Company Limited,30/06/1962,Capital Goods
ST1,Spirit Technology Solutions Ltd,22/10/1999,Telecommunication Services
STA,Strandline Resources Limited,17/05/2000,Materials
STG,Straker Translations Limited,22/10/2018,Media & Entertainment
STK,Strickland Metals Limited,6/04/2006,Materials
STM,Sunstone Metals Ltd,22/03/2007,Materials
STN,Saturn Metals Limited,9/03/2018,Materials
STO,Santos Limited,1/10/1954,Energy
STP,Step One Clothing Limited,1/11/2021,Retailing
STX,Strike Energy Limited,5/08/2004,Energy
SUH,Southern Hemisphere Mining Limited,5/01/2010,Materials
SUL,Super Retail Group Limited,6/07/2004,Retailing
SUM,Summit Minerals Limited,5/08/2022,Materials
SUN,Suncorp Group Limited,7/07/1988,Insurance
SUV,Suvo Strategic Minerals Limited,17/05/2011,Materials
SVG,Savannah Goldfields Limited,2/04/1987,Materials
SVL,Silver Mines Limited,19/01/2007,Materials
SVM,Sovereign Metals Limited,22/01/2007,Materials
SVW,Seven Group Holdings Limited,30/04/2010,Capital Goods
SVY,Stavely Minerals Limited,7/05/2014,Materials
SW1,Swift Networks Group Limited,30/06/1994,Media & Entertainment
SWF,Selfwealth Limited,23/11/2017,Diversified Financials
SWM,Seven West Media Limited,9/01/1992,Media & Entertainment
SWP,Swoop Holdings Limited,6/10/1988,Telecommunication Services
SXE,Southern Cross Electrical Engineering Ltd,28/11/2007,Capital Goods
SXG,Southern Cross Gold Ltd,16/05/2022,Materials
SXL,Southern Cross Media Group Limited,17/11/2005,Media & Entertainment
SYA,Sayona Mining Limited,30/03/2004,Materials
SYM,Symbio Holdings Limited,18/05/2006,Telecommunication Services
SYN,Synergia Energy Ltd,24/10/2003,Energy
SYR,Syrah Resources Limited,11/09/2007,Materials
SYT,Syntonic Limited,12/06/2007,Software & Services
SZL,Sezzle Inc.,30/07/2019,Software & Services
T1G,Tiger Tasman Minerals Limited,,Materials
T3D,333D Limited,27/12/2006,Commercial & Professional Services
T3K,Tek-Ocean Group Limited,2/09/2021,Energy
T88,Taiton Resources Limited,,Materials
T92,Terra Uranium Limited,8/09/2022,Energy
TAH,Tabcorp Holdings Limited,15/08/1994,Consumer Services
TAM,Tanami Gold Nl,11/12/1986,Materials
TAR,Taruga Minerals Limited,7/02/2012,Materials
TAS,Tasman Resources Ltd,18/12/2001,Materials
TBA,Tombola Gold Ltd,3/05/2012,Materials
TBN,Tamboran Resources Limited,2/07/2021,Energy
TBR,Tribune Resources Limited,4/05/1989,Materials
TCF,360 Capital Enhanced Income Fund,17/10/2006,Not Applic
TCG,Turaco Gold Limited,22/07/2008,Materials
TCL,Transurban Group,14/03/1996,Transportation
TCO,Transmetro Corporation Limited,17/09/1987,Consumer Services
TD1,Tali Digital Limited,23/09/2004,Health Care Equipment & Services
TDO,3D Oil Limited,22/05/2007,Energy
TEE,Top End Energy Limited,4/04/2022,Energy
TEG,Triangle Energy (Global) Limited,6/01/2006,Energy
TEK,Thorney Technologies Ltd,10/05/2005,Not Applic
TEM,Tempest Minerals Limited,28/03/2017,Materials
TER,Terracom Limited,22/07/2010,Energy
TFL,Tasfoods Limited,16/12/1999,"Food, Beverage & Tobacco"
TG1,Techgen Metals Ltd,7/04/2021,Materials
TG6,Tg Metals Limited,26/05/2022,Materials
TGA,Thorn Group Limited,13/12/2006,Retailing
TGF,Tribeca Global Natural Resources Limited,12/10/2018,Not Applic
TGH,Terragen Holdings Limited,11/12/2019,Materials
TGM,Theta Gold Mines Limited,7/04/2011,Materials
