ASXCode,CompanyName,ListingDate,GICsIndustryGroup
BDM,Burgundy Diamond Mines Limited,4/01/2013,Materials
BDT,Birddog Technology Limited,20/12/2021,Technology Hardware & Equipment
BDX,Bcal Diagnostics Limited,21/07/2021,"Pharmaceuticals, Biotechnology & Life Sciences"
BEE,Broo Ltd,14/10/2016,"Food, Beverage & Tobacco"
BEL,Bentley Capital Limited,7/11/1986,Not Applic
BEM,Blackearth Minerals Nl,19/01/2018,Materials
BEN,Bendigo And Adelaide Bank Limited,19/12/1985,Banks
BET,Betmakers Technology Group Ltd,11/12/2015,Consumer Services
BEX,Bikeexchange Limited,9/02/2021,Retailing
BEZ,Besra Gold Inc.,8/10/2021,Materials
BFC,Beston Global Food Company Limited,28/08/2015,"Food, Beverage & Tobacco"
BFG,Bell Financial Group Limited,12/12/2007,Diversified Financials
BFL,Bsp Financial Group Limited,25/05/2021,Banks
BGA,Bega Cheese Limited,19/08/2011,"Food, Beverage & Tobacco"
BGD,Barton Gold Holdings Limited,28/06/2021,Materials
BGE,Bridge Saas Limited,6/10/2022,Software & Services
BGL,Bellevue Gold Limited,20/12/2005,Materials
BGP,Briscoe Group Australasia Limited,20/07/2017,Retailing
BGT,Bio-Gene Technology Ltd,29/11/2017,Materials
BHD,Benjamin Hornigold Limited,12/05/2017,Not Applic
BHP,Bhp Group Limited,1885-08-13,Materials
BID,Bill Identity Limited,27/01/2011,Software & Services
BIM,Bindi Metals Limited,28/06/2022,Materials
BIO,Biome Australia Limited,30/11/2021,Household & Personal Products
BIR,Bir Financial Limited,31/07/2006,Diversified Financials
BIS,Bisalloy Steel Group Limited,23/06/2003,Materials
BIT,Biotron Limited,24/01/2001,"Pharmaceuticals, Biotechnology & Life Sciences"
BITNE,Biotron Limited,24/01/2001,"Pharmaceuticals, Biotechnology & Life Sciences"
BKG,Booktopia Group Limited,3/12/2020,Retailing
BKI,Bki Investment Company Limited,12/12/2003,Not Applic
BKL,Blackmores Limited,2/05/1985,Household & Personal Products
BKT,Black Rock Mining Limited,10/12/2003,Materials
BKW,Brickworks Limited,30/06/1962,Materials
BKY,Berkeley Energia Limited,16/09/2003,Energy
BLD,Boral Limited.,21/02/2000,Materials
BLG,Bluglass Limited,22/09/2006,Semiconductors & Semiconductor Equipment
BLU,Blue Energy Limited.,13/10/1994,Energy
BLX,Beacon Lighting Group Limited,15/04/2014,Retailing
BLY,Boart Longyear Group Ltd,5/04/2007,Materials
BLZ,Blaze Minerals Limited,12/09/1996,Energy
BME,Black Mountain Energy Ltd,23/12/2021,Energy
BMG,Bmg Resources Limited,12/05/2004,Materials
BMH,Baumart Holdings Limited,19/06/2015,Capital Goods
BML,Boab Metals Limited,15/07/2004,Materials
BMM,Balkan Mining And Minerals Limited,14/07/2021,Materials
BMN,Bannerman Energy Ltd,28/04/2005,Energy
BMO,Bastion Minerals Limited,16/03/2021,Materials
BMR,Ballymore Resources Limited,3/09/2021,Materials
BMT,Beamtree Holdings Limited,6/06/2019,Health Care Equipment & Services
BNL,Blue Star Helium Limited,24/11/1994,Energy
BNO,Bionomics Limited,21/12/1999,"Pharmaceuticals, Biotechnology & Life Sciences"
BNR,Bulletin Resources Limited,20/12/2010,Materials
BNZ,Benz Mining Corp.,23/12/2020,Materials
BOA,Boadicea Resources Limited,11/10/2012,Materials
BOC,Bougainville Copper Limited,31/12/1970,Materials
BOD,Bod Australia Limited.,27/10/2016,Retailing
BOE,Boss Energy Ltd,25/07/2007,Energy
BOL,Boom Logistics Limited,14/10/2003,Capital Goods
BOQ,Bank Of Queensland Limited.,24/08/1971,Banks
BOT,Botanix Pharmaceuticals Ltd,24/01/1985,"Pharmaceuticals, Biotechnology & Life Sciences"
BPH,Bph Energy Ltd,6/08/2004,"Pharmaceuticals, Biotechnology & Life Sciences"
BPM,Bpm Minerals Limited,30/12/2020,Materials
BPP,Babylon Pump & Power Limited,13/12/1996,Capital Goods
BPT,Beach Energy Limited,30/06/1972,Energy
BRB,Breaker Resources Nl,20/04/2012,Materials
BRG,Breville Group Limited,25/05/1999,Consumer Durables & Apparel
BRI,Big River Industries Limited,1/05/2017,Materials
BRK,Brookside Energy Limited,31/10/2005,Energy
BRL,Bathurst Resources Limited.,21/06/2013,Materials
BRN,Brainchip Holdings Ltd,9/11/2011,Software & Services
BRU,Buru Energy Limited,1/09/2008,Energy
BRX,Belararox Limited,28/01/2022,Materials
BSA,Bsa Limited,15/11/1999,Commercial & Professional Services
BSE,Base Resources Limited,2/10/2008,Materials
BSL,Bluescope Steel Limited,15/07/2002,Materials
BSN,Basin Energy Limited,4/10/2022,Energy
BST,Best & Less Group Holdings Ltd,26/07/2021,Retailing
BSX,Blackstone Minerals Limited,23/01/2017,Materials
BTC,Btc Health Ltd,29/08/2000,Not Applic
BTE,Botala Energy Ltd,14/07/2022,Energy
BTH,Bigtincan Holdings Limited,24/03/2017,Software & Services
BTI,Bailador Technology Investments Limited,21/11/2014,Diversified Financials
BTN,Butn Limited,6/07/2021,Diversified Financials
BTR,Brightstar Resources Limited,5/12/2003,Materials
BUB,Bubs Australia Limited,5/10/1993,"Food, Beverage & Tobacco"
BUD,Buddy Technologies Ltd,18/12/2006,Consumer Durables & Apparel
BUR,Burley Minerals Ltd,7/07/2021,Materials
BUS,Bubalus Resources Limited,13/10/2022,Materials
BUX,Buxton Resources Limited,23/10/2007,Materials
BUY,Bounty Oil & Gas Nl,5/02/2002,Energy
BVR,Bellavista Resources Ltd,25/05/2022,Materials
BVS,Bravura Solutions Limited.,16/11/2016,Software & Services
BWF,Blackwall Limited,21/10/2011,Diversified Financials
BWP,Bwp Trust,16/09/1998,Real Estate
BWX,Bwx Limited,11/11/2015,Household & Personal Products
BXB,Brambles Limited,27/11/2006,Commercial & Professional Services
BXN,Bioxyne Limited,14/12/2000,Household & Personal Products
BYE,Byron Energy Limited,3/06/2005,Energy
BYH,Bryah Resources Limited,17/10/2017,Materials
BYI,Beyond International Limited,12/06/1987,Media & Entertainment
C1X,Cosmos Exploration Limited,1/12/2021,Materials
C29,C29 Metals Limited,3/11/2021,Materials
C6C,Copper Mountain Mining Corporation,6/04/2018,Materials
C79,Chrysos Corporation Limited,6/05/2022,Commercial & Professional Services
C7A,Clara Resources Australia Ltd,21/10/2010,Materials
CAA,Capral Limited,20/11/1986,Materials
CAD,Caeneus Minerals Ltd,11/07/2000,Materials
CAE,Cannindah Resources Limited,20/05/2005,Materials
CAF,Centrepoint Alliance Limited,25/06/2002,Diversified Financials
CAG,Cape Range Ltd,30/11/2017,Software & Services
CAI,Calidus Resources Limited,13/03/1987,Materials
CAJ,Capitol Health Limited,9/06/2006,Health Care Equipment & Services
CAM,Clime Capital Limited,3/02/2004,Not Applic
CAN,Cann Group Limited,4/05/2017,"Pharmaceuticals, Biotechnology & Life Sciences"
CAQ,Caq Holdings Limited,25/07/2005,Real Estate
CAR,Carsales.Com Limited.,10/09/2009,Media & Entertainment
CAT,Catapult Group International Ltd,19/12/2014,Technology Hardware & Equipment
CAU,Cronos Australia Limited,7/11/2019,Health Care Equipment & Services
CAV,Carnavale Resources Limited,15/03/2007,Materials
CAY,Canyon Resources Limited,15/06/2010,Materials
CAZ,Cazaly Resources Limited,31/10/2003,Materials
CBA,Commonwealth Bank Of Australia.,12/09/1991,Banks
CBE,Cobre Limited,31/01/2020,Materials
CBH,Coolabah Metals Limited,28/07/2022,Materials
CBL,Control Bionics Limited,7/12/2020,Health Care Equipment & Services
CBO,Cobram Estate Olives Limited,11/08/2021,"Food, Beverage & Tobacco"
CBR,Carbon Revolution Limited,29/11/2019,Automobiles & Components
CBY,Canterbury Resources Limited,7/03/2019,Materials
CCA,Change Financial Limited,30/06/2016,Software & Services
CCE,Carnegie Clean Energy Limited,26/10/1993,Utilities
CCG,Comms Group Ltd,21/12/2017,Telecommunication Services
CCP,Credit Corp Group Limited,4/09/2000,Diversified Financials
CCR,Credit Clear Limited,27/10/2020,Software & Services
CCV,Cash Converters International,7/02/1997,Diversified Financials
CCX,City Chic Collective Limited,28/05/1998,Retailing
CCZ,Castillo Copper Limited,14/12/2010,Materials
CD1,Cd Private Equity Fund I,14/08/2012,Not Applic
CD2,Cd Private Equity Fund Ii,9/04/2013,Not Applic
CD3,Cd Private Equity Fund Iii,27/07/2016,Not Applic
CDA,Codan Limited,27/11/2003,Technology Hardware & Equipment
CDD,Cardno Limited,20/05/2004,Commercial & Professional Services
CDM,Cadence Capital Limited,5/12/2006,Not Applic
CDO,Cadence Opportunities Fund Limited.,19/11/2021,Not Applic
CDP,Carindale Property Trust,28/11/1996,Real Estate
CDR,Codrus Minerals Limited,23/06/2021,Materials
CDT,Castle Minerals Limited,2/05/2006,Materials
CDX,Cardiex Limited,9/11/2005,Health Care Equipment & Services
CE1,Calima Energy Limited,28/07/2006,Energy
CEL,Challenger Exploration Limited,7/11/2007,Energy
CEN,Contact Energy Limited,24/09/2015,Utilities
CF1,Complii Fintech Solutions Ltd,18/12/2001,Software & Services
CFO,Cfoam Limited,26/10/2016,Capital Goods
CG1,Carbonxt Group Limited,23/01/2018,Materials
CGA,Contango Asset Management Limited,30/09/2004,Diversified Financials
CGB,Cann Global Limited,14/01/2008,"Pharmaceuticals, Biotechnology & Life Sciences"
CGC,Costa Group Holdings Limited,24/07/2015,"Food, Beverage & Tobacco"
CGF,Challenger Limited,23/12/2003,Diversified Financials
CGN,Crater Gold Mining Limited,1/11/2002,Materials
CGO,Cpt Global Limited,8/09/2000,Software & Services
CGS,Cogstate Ltd,13/02/2004,Health Care Equipment & Services
CHC,Charter Hall Group,10/06/2005,Real Estate
CHK,Cohiba Minerals Limited,1/02/2012,Materials
CHL,Camplify Holdings Limited,28/06/2021,Transportation
CHM,Chimeric Therapeutics Limited,18/01/2021,"Pharmaceuticals, Biotechnology & Life Sciences"
CHN,Chalice Mining Limited,24/03/2006,Materials
CHR,Charger Metals Nl,9/07/2021,Materials
CHZ,Chesser Resources Limited,29/05/2007,Materials
CI1,Credit Intelligence Ltd,10/07/2008,Commercial & Professional Services
CIA,Champion Iron Limited,8/06/2007,Materials
CII,Ci Resources Limited,24/07/1987,Materials
CIN,Carlton Investments Limited,30/06/1970,Not Applic
CIO,,16/08/1984,Technology Hardware & Equipment
CIP,Centuria Industrial Reit,13/12/2012,Real Estate
CIW,Clime Investment Management Ltd,15/12/2000,Diversified Financials
CKA,Cokal Limited,17/04/2000,Materials
CKF,Collins Foods Limited,4/08/2011,Consumer Services
